date,time,frequency,rs,dt
210818,195030,18.100,-17,-1.1
210818,195030,18.100,-18,-1.0
210818,195045,18.100,-9,-1.1
210818,195045,18.100,-12,-1.1
210818,195100,18.100,-9,-1.1
210818,195100,18.100,-6,-1.1
210818,195100,18.100,-17,-1.1
210818,195100,18.100,-18,-1.1
210818,195100,18.100,-20,-1.0
210818,195100,18.100,-19,-0.4
210818,195115,18.100,-6,-1.1
210818,195115,18.100,-9,-1.1
210818,195115,18.100,-20,-1.7
210818,195115,18.100,-19,0.6
210818,195115,18.100,-20,-1.1
210818,195130,18.100,-12,-1.1
210818,195130,18.100,-11,-1.1
210818,195130,18.100,-14,-1.1
210818,195130,18.100,-18,-0.4
210818,195130,18.100,-19,-0.2
210818,195145,18.100,-1,-1.1
210818,195145,18.100,-17,-1.1
210818,195200,18.100,-15,-0.4
210818,195200,18.100,-18,-1.0
210818,195200,18.100,-18,-1.1
210818,195215,18.100,1,-1.1
210818,195215,18.100,-17,-1.1
210818,195215,18.100,-20,-1.1
210818,195230,18.100,-13,-1.1
210818,195230,18.100,-19,-0.4
210818,195230,18.100,-21,-1.0
210818,195245,18.100,-1,-1.1
210818,195245,18.100,-17,-1.1
210818,195300,18.100,-12,-0.4
210818,195300,18.100,-16,-1.1
210818,195300,18.100,-15,-1.1
210818,195300,18.100,-20,-0.1
210818,195315,18.100,-20,-1.1
210818,195330,18.100,-2,-1.1
210818,195330,18.100,-15,-0.2
210818,195330,18.100,-13,-1.1
210818,195330,18.100,-18,-1.0
210818,195400,18.100,-5,-1.1
210818,195400,18.100,-15,-0.2
210818,195400,18.100,-20,-1.1
210818,195415,18.100,-15,-1.1
210818,195430,18.100,1,-1.1
210818,195430,18.100,-5,-1.1
210818,195430,18.100,-14,-0.1
210818,195430,18.100,-18,-0.4
210818,195500,18.100,-16,-0.1
210818,195500,18.100,-18,-1.1
210818,195530,18.100,-18,-0.4
210818,195530,18.100,-16,-0.2
210818,195530,18.100,-19,-1.0
210818,195530,18.100,-19,-1.1
210818,195600,18.100,-11,-0.1
210818,195600,18.100,-21,-0.4
210818,195630,18.100,-16,-1.1
210818,195645,18.100,6,-1.1
210818,195645,18.100,-16,-1.1
210818,195645,18.100,-18,-1.1
210818,195645,18.100,-19,-1.1
210818,195715,18.100,1,-1.1
210818,195715,18.100,-6,-1.1
210818,195715,18.100,-12,-1.1
210818,195715,18.100,-17,-1.0
210818,195730,18.100,-15,-0.4
210818,195730,18.100,-18,0.0
210818,195730,18.100,-20,-1.1
