date,time,freq,rs,dt,lat,long
210426,235045,10.136,-1,0.1,36.5,-95
210426,234445,10.136,-13,0.2,42.5,-71
210426,235800,10.136,-21,0.1,44.5,-77
210426,235800,10.136,-11,0.1,39.5,-89
210426,235700,10.136,-7,0.6,38.5,-77
210426,235130,10.136,-7,0.6,0,0
210426,234830,10.136,-7,0.1,83.5,175
210426,235500,10.136,-3,0.3,83.5,175
210426,235445,10.136,5,0.1,33.5,-111
210426,234745,10.136,3,0.1,0,0
210426,235400,10.136,-2,0.6,33.5,-79
210426,235830,10.136,-5,0.6,38.5,-77
210426,235500,10.136,-12,0.2,40.5,-77
210426,234415,10.136,-12,-0.1,0,0
210426,235730,10.136,8,0,0,0
210426,235000,10.136,-4,0.1,33.5,-117
210426,235830,10.136,-8,0,0,0
210426,235900,10.136,-1,0.1,41.5,-81
210426,235830,10.136,-8,0.2,36.5,-81
210426,235330,10.136,-23,0.5,18.5,-67
210426,235700,10.136,-4,0.5,33.5,-79
210427,163630,10.136,-11,0.2,83.5,175
210426,234800,10.136,-6,0,0,0
210426,235300,10.136,-2,0.2,41.5,-75
210426,234615,10.136,-3,-0.1,0,0
210426,235330,10.136,-19,0.1,83.5,175
210426,235230,10.136,-7,0.5,10.5,-67
210426,235830,10.136,-14,0,0,0
210426,234800,10.136,-9,0.2,41.5,-75
210426,234800,10.136,-3,0.5,32.5,-111
210426,235530,10.136,9,0.1,83.5,175
210426,234900,10.136,-12,0.1,41.5,-81
210426,235800,10.136,-4,0.6,38.5,-77
210426,235630,10.136,-14,0.2,37.5,-91
210426,235530,10.136,5,0.1,29.5,-99
210426,234430,10.136,3,0.1,35.5,-79
210426,235445,10.136,7,0.1,0,0
210426,235530,10.136,4,0.3,40.5,-75
210426,234500,10.136,-10,0.1,37.5,-87
210426,235445,10.136,-22,0.1,41.5,-75
210426,234830,10.136,-10,-0.2,29.5,-95
210426,234630,10.136,-9,0.3,41.5,-107
210426,235700,10.136,-5,0,0,0
210426,234830,10.136,-4,0.1,0,0
210426,235800,10.136,4,0,0,0
210426,235800,10.136,-10,0.4,0,0
210426,234930,10.136,0,0.1,35.5,-79
210426,235045,10.136,16,0.1,40.5,-77
210426,235900,10.136,-2,0.6,0,0
210426,235730,10.136,-9,0,0,0
210426,235115,10.136,-6,0.2,40.5,-75
210426,235030,10.136,-5,0.1,0,0
210426,235300,10.136,-15,0.1,0,0
210426,235445,10.136,-7,0.1,42.5,-83
210426,234745,10.136,3,0,0,0
210426,235115,10.136,-7,0.6,33.5,-79
210426,234600,10.136,-5,0.1,29.5,-99
210426,234500,10.136,-21,0.2,10.5,-61
210426,235230,10.136,-8,0.1,37.5,-87
210426,235130,10.136,0,0.1,0,0
210426,234445,10.136,-18,-0.1,20.5,-89
210426,235830,10.136,-5,0,0,0
210426,235045,10.136,-11,0.1,18.5,-69
210426,234415,10.136,-9,0,0,0
210426,235230,10.136,7,0.1,40.5,-77
210426,235730,10.136,-13,0,0,0
210426,234745,10.136,-21,0.1,0,0
210426,235830,10.136,10,0,0,0
210426,235200,10.136,3,0.2,41.5,-75
210426,234900,10.136,-18,0.1,83.5,175
210426,235115,10.136,-4,0.1,0,0
210426,235700,10.136,2,0.2,41.5,-107
210426,235300,10.136,3,0.1,29.5,-99
210426,235530,10.136,-3,0.1,33.5,-97
210426,235100,10.136,-5,0.3,41.5,-107
210426,235445,10.136,-19,0.3,83.5,175
210426,234615,10.136,7,-0.7,46.5,-95
210426,235030,10.136,-8,0.1,36.5,-95
210426,235900,10.136,0,0.1,0,0
210426,235500,10.136,-19,0.1,37.5,-85
210426,235000,10.136,-16,0.6,0,0
210426,234900,10.136,-4,0.6,33.5,-79
210426,235445,10.136,-8,-0.4,41.5,-71
210426,234700,10.136,-13,0.1,18.5,-69
210426,235000,10.136,-9,-1.8,0,0
210426,235600,10.136,-13,0,0,0
210426,235830,10.136,-2,0.7,83.5,175
210426,234800,10.136,-3,0.3,37.5,-107
210426,235400,10.136,-1,0.1,35.5,-79
210426,235330,10.136,3,0.1,47.5,-123
210426,234530,10.136,-9,0.5,10.5,-67
210426,235445,10.136,-8,0.1,0,0
